split,class_folder,label,label_index,malignant,site,filename,image_path,md5
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4273.jpeg,data\processed\test\colon_aca\colonca4273.jpeg,c2595e0582d35f7a813e497c6bbd80f8
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4274.jpeg,data\processed\test\colon_aca\colonca4274.jpeg,0e04a950ad4535d8db0a2f6e75595786
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4275.jpeg,data\processed\test\colon_aca\colonca4275.jpeg,2a81e118beb19480921e5ace95311df3
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4276.jpeg,data\processed\test\colon_aca\colonca4276.jpeg,71c37013c057b76fae6eae68a429d0d7
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4277.jpeg,data\processed\test\colon_aca\colonca4277.jpeg,3b7200128ed7773c29dc9c2bdcccd475
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4278.jpeg,data\processed\test\colon_aca\colonca4278.jpeg,db7eb3d9e85d0c53a20b4be7449ee932
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4279.jpeg,data\processed\test\colon_aca\colonca4279.jpeg,399b1b7b9df81e6f64a55b83addd1141
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4280.jpeg,data\processed\test\colon_aca\colonca4280.jpeg,8e584f53cb10313ec9a8a4f069f58e69
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4281.jpeg,data\processed\test\colon_aca\colonca4281.jpeg,7594e4f5f2995944b8ac1275ea9f6a16
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4282.jpeg,data\processed\test\colon_aca\colonca4282.jpeg,ec17c045fe0e4162f6a1cd5c3b1f29ef
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4283.jpeg,data\processed\test\colon_aca\colonca4283.jpeg,5cdbb6582388105fcdada44e4c362533
test,colon_aca,Colon Adenocarcinoma,0,True,colon,colonca4284.jpeg,data\processed\test\colon_aca\colonca4284.jpeg,cc52136ebefdf0bada449e6e29ed2871
